Month,Day,Day of the Week,School Holiday,Public Holiday
5,15,Wednesday,0,0
5,16,Thursday,0,0
5,17,Friday,0,0
5,18,Saturday,0,0
5,19,Sunday,0,0
5,20,Monday,0,0
5,21,Tuesday,0,0
5,22,Wednesday,0,1
5,23,Thursday,0,0
5,24,Friday,0,0
5,25,Saturday,1,0
5,26,Sunday,1,0
5,27,Monday,1,0
5,28,Tuesday,1,0
5,29,Wednesday,1,0
5,30,Thursday,1,0
5,31,Friday,1,0
6,1,Saturday,1,0
6,2,Sunday,1,0
6,3,Monday,1,0
6,4,Tuesday,1,0
6,5,Wednesday,1,0
6,6,Thursday,1,0
6,7,Friday,1,0
6,8,Saturday,1,0
6,9,Sunday,1,0
6,10,Monday,1,0
6,11,Tuesday,1,0
6,12,Wednesday,1,0
6,13,Thursday,1,0
6,14,Friday,1,0
6,15,Saturday,1,0
6,16,Sunday,1,0
6,17,Monday,1,1
6,18,Tuesday,1,0
6,19,Wednesday,1,0
6,20,Thursday,1,0
6,21,Friday,1,0
6,22,Saturday,1,0
6,23,Sunday,1,0
6,24,Monday,0,0
6,25,Tuesday,0,0
6,26,Wednesday,0,0
6,27,Thursday,0,0
6,28,Friday,0,0
6,29,Saturday,0,0
6,30,Sunday,0,0
7,1,Monday,1,0
7,2,Tuesday,0,0
7,3,Wednesday,0,0
7,4,Thursday,0,0
7,5,Friday,0,0
7,6,Saturday,0,0
7,7,Sunday,0,0
7,8,Monday,0,0
7,9,Tuesday,0,0
7,10,Wednesday,0,0
7,11,Thursday,0,0
7,12,Friday,0,0
7,13,Saturday,0,0
7,14,Sunday,0,0
7,15,Monday,0,0
7,16,Tuesday,0,0
7,17,Wednesday,0,0
7,18,Thursday,0,0
7,19,Friday,0,0
7,20,Saturday,0,0
7,21,Sunday,0,0
7,22,Monday,0,0
7,23,Tuesday,0,0
7,24,Wednesday,0,0
7,25,Thursday,0,0
7,26,Friday,0,0
7,27,Saturday,0,0
7,28,Sunday,0,0
7,29,Monday,0,0
7,30,Tuesday,0,0
7,31,Wednesday,0,0
8,1,Thursday,0,0
8,2,Friday,0,0
8,3,Saturday,0,0
8,4,Sunday,0,0
8,5,Monday,0,0
8,6,Tuesday,0,0
8,7,Wednesday,0,0
8,8,Thursday,0,0
8,9,Friday,0,1
8,10,Saturday,0,0
8,11,Sunday,0,0
8,12,Monday,0,0
8,13,Tuesday,0,0
8,14,Wednesday,0,0
8,15,Thursday,0,0
8,16,Friday,0,0
8,17,Saturday,0,0
8,18,Sunday,0,0
8,19,Monday,0,0
8,20,Tuesday,0,0
8,21,Wednesday,0,0
8,22,Thursday,0,0
8,23,Friday,0,0
8,24,Saturday,0,0
8,25,Sunday,0,0
8,26,Monday,0,0
8,27,Tuesday,0,0
8,28,Wednesday,0,0
8,29,Thursday,0,0
8,30,Friday,0,0
8,31,Saturday,1,0
9,1,Sunday,1,0
9,2,Monday,1,0
9,3,Tuesday,1,0
9,4,Wednesday,1,0
9,5,Thursday,1,0
9,6,Friday,1,0
9,7,Saturday,1,0
9,8,Sunday,1,0
9,9,Monday,0,0
9,10,Tuesday,0,0
9,11,Wednesday,0,0
9,12,Thursday,0,0
9,13,Friday,0,0
9,14,Saturday,0,0
9,15,Sunday,0,0
9,16,Monday,0,0
9,17,Tuesday,0,0
9,18,Wednesday,0,0
9,19,Thursday,0,0
9,20,Friday,0,0
9,21,Saturday,0,0
9,22,Sunday,0,0
9,23,Monday,0,0
9,24,Tuesday,0,0
9,25,Wednesday,0,0
9,26,Thursday,0,0
9,27,Friday,0,0
9,28,Saturday,0,0
9,29,Sunday,0,0
9,30,Monday,0,0
10,1,Tuesday,0,0
10,2,Wednesday,0,0
10,3,Thursday,0,0
10,4,Friday,1,0
10,5,Saturday,0,0
10,6,Sunday,0,0
10,7,Monday,0,0
10,8,Tuesday,0,0
10,9,Wednesday,0,0
10,10,Thursday,0,0
10,11,Friday,0,0
10,12,Saturday,0,0
10,13,Sunday,0,0
10,14,Monday,0,0
10,15,Tuesday,0,0
10,16,Wednesday,0,0
10,17,Thursday,0,0
10,18,Friday,0,0
10,19,Saturday,0,0
10,20,Sunday,0,0
10,21,Monday,0,0
10,22,Tuesday,0,0
10,23,Wednesday,0,0
10,24,Thursday,0,0
10,25,Friday,0,0
10,26,Saturday,0,0
10,27,Sunday,0,0
10,28,Monday,0,0
10,29,Tuesday,0,0
10,30,Wednesday,0,0
10,31,Thursday,0,1
