,Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
4,Sentosa Island,2023,3,5,19.2,10.6,11.0,12.8,25.2,29.9,23.6,4.0,32.0
5,Sentosa Island,2023,3,6,0.0,0.0,0.0,0.0,26.3,30.6,23.7,4.9,24.1
6,Sentosa Island,2023,3,7,9.6,4.2,4.2,5.4,26.2,30.5,24.6,5.9,28.9
7,Sentosa Island,2023,3,8,2.6,2.0,2.0,2.0,27.1,30.9,25.0,5.2,29.8
8,Sentosa Island,2023,3,9,0.0,0.0,0.0,0.0,28.2,32.4,25.4,6.0,24.4
9,Sentosa Island,2023,3,10,0.0,0.0,0.0,0.0,27.9,32.1,25.9,5.9,26.3
10,Sentosa Island,2023,3,11,0.0,0.0,0.0,0.0,27.9,31.2,25.9,5.7,22.6
11,Sentosa Island,2023,3,12,0.0,0.0,0.0,0.0,27.7,31.5,25.3,6.5,32.4
12,Sentosa Island,2023,3,13,0.0,0.0,0.0,0.0,27.9,32.3,25.9,6.0,29.1
13,Sentosa Island,2023,3,14,1.0,1.0,1.0,1.0,27.3,30.7,25.3,5.2,26.7
14,Sentosa Island,2023,3,15,0.0,0.0,0.0,0.0,27.6,31.5,24.9,5.2,22.6
15,Sentosa Island,2023,3,16,0.0,0.0,0.0,0.0,28.2,33.0,25.5,6.1,26.7
16,Sentosa Island,2023,3,17,0.0,0.0,0.0,0.0,28.5,34.3,25.8,6.1,25.2
17,Sentosa Island,2023,3,18,0.0,0.0,0.0,0.0,28.3,31.8,25.8,5.9,28.9
18,Sentosa Island,2023,3,19,26.6,11.8,21.2,26.2,27.3,32.9,24.0,5.1,26.3
19,Sentosa Island,2023,3,20,28.0,17.4,22.0,22.2,27.1,31.3,23.5,4.6,22.6
20,Sentosa Island,2023,3,21,9.4,8.2,9.4,9.4,27.1,30.6,23.4,4.6,25.9
21,Sentosa Island,2023,3,22,0.0,0.0,0.0,0.0,28.0,32.0,25.7,5.5,24.1
22,Sentosa Island,2023,3,23,0.0,0.0,0.0,0.0,28.3,31.4,26.0,6.6,28.5
23,Sentosa Island,2023,3,24,0.0,0.0,0.0,0.0,28.3,31.9,26.2,3.7,20.2
24,Sentosa Island,2023,3,25,11.6,5.2,5.8,9.4,26.5,30.1,24.9,3.3,23.7
25,Sentosa Island,2023,3,26,0.0,0.0,0.0,0.0,27.5,30.3,24.8,5.8,25.6
26,Sentosa Island,2023,3,27,30.0,13.8,23.2,27.0,26.0,27.6,22.9,3.4,41.1
27,Sentosa Island,2023,3,28,0.0,0.0,0.0,0.0,28.6,31.6,25.4,5.4,29.8
28,Sentosa Island,2023,3,29,0.0,0.0,0.0,0.0,28.6,33.2,26.8,4.9,24.1
29,Sentosa Island,2023,3,30,26.2,11.2,20.4,25.6,27.6,34.0,23.9,4.4,22.4
30,Sentosa Island,2023,3,31,0.2,0.2,0.2,0.2,27.6,30.5,24.9,4.3,32.4
0,Sentosa Island,2023,4,1,0.0,0.0,0.0,0.0,27.8,31.3,26.0,4.0,24.1
1,Sentosa Island,2023,4,2,0.0,0.0,0.0,0.0,28.3,32.0,26.2,4.0,21.3
2,Sentosa Island,2023,4,3,28.8,14.2,23.0,25.2,26.4,28.0,22.6,4.5,31.7
3,Sentosa Island,2023,4,4,0.0,0.0,0.0,0.0,28.7,32.4,25.6,4.7,23.3
4,Sentosa Island,2023,4,5,20.8,16.4,19.4,20.6,27.5,30.2,22.7,3.5,32.4
5,Sentosa Island,2023,4,6,0.5,0.5,0.5,0.5,28.4,30.2,26.4,5.9,31.7
6,Sentosa Island,2023,4,7,0.0,0.0,0.0,0.0,27.6,29.4,25.8,4.2,20.2
7,Sentosa Island,2023,4,8,0.6,0.4,0.6,0.6,28.0,32.4,25.9,3.8,19.4
8,Sentosa Island,2023,4,9,8.0,4.2,5.6,6.8,28.1,32.2,25.5,4.1,32.0
9,Sentosa Island,2023,4,10,0.0,0.0,0.0,0.0,28.2,32.0,25.6,3.9,20.9
10,Sentosa Island,2023,4,11,0.0,0.0,0.0,0.0,28.8,32.2,26.1,5.2,22.6
11,Sentosa Island,2023,4,12,0.0,0.0,0.0,0.0,29.0,32.1,26.1,4.7,24.4
12,Sentosa Island,2023,4,13,0.0,0.0,0.0,0.0,28.8,31.5,26.8,5.0,22.6
13,Sentosa Island,2023,4,14,0.0,0.0,0.0,0.0,29.1,32.6,27.0,5.0,24.4
14,Sentosa Island,2023,4,15,0.6,0.6,0.6,0.6,29.3,32.6,26.8,5.1,20.9
15,Sentosa Island,2023,4,16,3.6,3.4,3.6,3.6,28.6,31.2,23.8,5.1,30.9
16,Sentosa Island,2023,4,17,0.0,0.0,0.0,0.0,29.0,33.0,27.0,6.8,39.3
17,Sentosa Island,2023,4,18,0.0,0.0,0.0,0.0,30.0,35.3,27.8,4.6,20.6
18,Sentosa Island,2023,4,19,0.2,0.2,0.2,0.2,29.2,31.9,27.3,4.8,19.1
19,Sentosa Island,2023,4,20,3.5,1.5,2.5,3.0,27.7,30.5,24.3,4.6,42.4
20,Sentosa Island,2023,4,21,31.0,23.0,28.5,30.0,28.0,31.4,23.2,5.2,42.0
21,Sentosa Island,2023,4,22,0.0,0.0,0.0,0.0,29.1,33.9,27.1,5.1,33.2
22,Sentosa Island,2023,4,23,0.0,0.0,0.0,0.0,29.2,32.6,27.7,6.4,40.4
23,Sentosa Island,2023,4,24,3.2,2.6,2.6,2.6,29.5,33.9,25.9,5.7,27.4
24,Sentosa Island,2023,4,25,1.5,1.3,1.3,1.3,28.6,32.1,26.9,3.8,22.4
25,Sentosa Island,2023,4,26,0.0,0.0,0.0,0.0,29.2,32.7,26.7,5.8,28.2
26,Sentosa Island,2023,4,27,0.0,0.0,0.0,0.0,29.7,34.0,27.8,4.0,26.7
27,Sentosa Island,2023,4,28,2.0,1.8,2.0,2.0,28.6,33.2,27.4,3.1,17.6
28,Sentosa Island,2023,4,29,7.4,6.2,6.6,7.2,28.3,32.7,25.2,3.8,27.8
29,Sentosa Island,2023,4,30,12.0,10.2,11.4,11.6,27.9,32.6,25.3,3.1,27.0
0,Sentosa Island,2023,5,1,0.0,0.0,0.0,0.0,29.4,33.8,26.3,4.8,27.4
1,Sentosa Island,2023,5,2,0.0,0.0,0.0,0.0,30.0,33.6,27.5,5.3,27.0
2,Sentosa Island,2023,5,3,0.0,0.0,0.0,0.0,29.8,33.1,27.9,4.1,18.3
3,Sentosa Island,2023,5,4,0.0,0.0,0.0,0.0,29.5,34.5,27.2,3.4,22.6
4,Sentosa Island,2023,5,5,0.0,0.0,0.0,0.0,29.5,32.8,27.5,4.0,21.7
5,Sentosa Island,2023,5,6,6.6,6.6,6.6,6.6,28.8,32.5,24.4,6.1,40.0
6,Sentosa Island,2023,5,7,3.0,1.5,2.0,3.0,28.4,30.1,25.6,9.3,34.3
7,Sentosa Island,2023,5,8,0.2,0.2,0.2,0.2,29.8,33.3,26.2,8.3,39.3
8,Sentosa Island,2023,5,9,0.0,0.0,0.0,0.0,29.6,33.2,26.9,6.5,22.0
9,Sentosa Island,2023,5,10,0.0,0.0,0.0,0.0,30.4,34.6,28.3,6.7,19.4
10,Sentosa Island,2023,5,11,0.0,0.0,0.0,0.0,30.2,34.7,28.6,7.4,32.8
11,Sentosa Island,2023,5,12,0.0,0.0,0.0,0.0,30.3,33.7,28.3,7.1,30.2
12,Sentosa Island,2023,5,13,0.0,0.0,0.0,0.0,30.0,33.2,27.6,5.9,22.6
13,Sentosa Island,2023,5,14,0.0,0.0,0.0,0.0,30.4,34.3,28.3,5.6,23.7
14,Sentosa Island,2023,5,15,5.6,5.6,5.6,5.6,29.3,34.0,26.3,4.8,30.2
15,Sentosa Island,2023,5,16,11.0,6.0,10.0,10.0,27.2,29.9,23.3,4.3,36.3
16,Sentosa Island,2023,5,17,0.0,0.0,0.0,0.0,29.0,33.3,26.9,4.1,27.0
17,Sentosa Island,2023,5,18,0.0,0.0,0.0,0.0,29.5,32.5,26.2,5.2,24.8
18,Sentosa Island,2023,5,19,2.6,1.6,2.2,2.4,28.9,31.1,25.9,6.2,32.4
19,Sentosa Island,2023,5,20,0.0,0.0,0.0,0.0,29.6,31.5,28.2,8.3,29.8
20,Sentosa Island,2023,5,21,32.4,18.8,28.0,29.0,26.9,29.1,22.6,4.7,38.9
21,Sentosa Island,2023,5,22,0.0,0.0,0.0,0.0,29.4,32.0,27.8,6.2,23.3
22,Sentosa Island,2023,5,23,4.2,1.4,2.0,3.0,28.5,30.7,24.4,7.0,35.2
23,Sentosa Island,2023,5,24,0.0,0.0,0.0,0.0,29.9,32.5,28.2,6.5,19.4
24,Sentosa Island,2023,5,25,0.0,0.0,0.0,0.0,30.0,32.6,28.4,6.3,25.9
25,Sentosa Island,2023,5,26,26.2,20.8,24.2,24.4,28.2,30.1,24.4,5.1,34.3
26,Sentosa Island,2023,5,27,0.0,0.0,0.0,0.0,29.1,32.0,27.4,5.1,26.7
27,Sentosa Island,2023,5,28,11.6,11.6,11.6,11.6,29.2,32.6,25.1,6.0,33.9
28,Sentosa Island,2023,5,29,15.6,14.6,14.6,15.2,29.4,32.1,24.5,7.4,45.7
29,Sentosa Island,2023,5,30,0.0,0.0,0.0,0.0,29.6,32.4,27.6,5.7,22.0
30,Sentosa Island,2023,5,31,0.0,0.0,0.0,0.0,30.0,33.1,28.3,7.3,20.2
0,Sentosa Island,2023,6,1,22.8,11.2,14.2,18.6,27.0,29.5,24.3,6.5,39.6
1,Sentosa Island,2023,6,2,0.0,0.0,0.0,0.0,29.4,32.9,26.3,5.4,20.9
2,Sentosa Island,2023,6,3,12.0,11.8,11.8,12.0,29.0,32.7,23.5,4.8,33.2
3,Sentosa Island,2023,6,4,30.8,15.6,22.8,29.0,27.8,31.7,24.5,5.1,106.9
4,Sentosa Island,2023,6,5,0.0,0.0,0.0,0.0,28.9,32.0,26.2,5.5,18.3
5,Sentosa Island,2023,6,6,0.2,0.2,0.2,0.2,28.3,30.0,26.3,4.4,22.6
6,Sentosa Island,2023,6,7,0.0,0.0,0.0,0.0,28.9,31.8,27.4,5.8,25.2
7,Sentosa Island,2023,6,8,0.0,0.0,0.0,0.0,29.6,32.7,27.4,5.8,25.9
8,Sentosa Island,2023,6,9,0.0,0.0,0.0,0.0,29.6,33.3,27.9,5.8,20.2
9,Sentosa Island,2023,6,10,0.0,0.0,0.0,0.0,29.7,33.3,27.7,6.1,26.3
10,Sentosa Island,2023,6,11,0.0,0.0,0.0,0.0,29.8,34.1,28.0,6.2,22.6
11,Sentosa Island,2023,6,12,42.2,17.4,25.2,39.0,27.3,29.8,23.8,4.8,29.1
12,Sentosa Island,2023,6,13,0.0,0.0,0.0,0.0,28.9,32.8,26.1,6.1,24.1
13,Sentosa Island,2023,6,14,3.0,3.0,3.0,3.0,28.1,30.6,24.5,4.9,27.8
14,Sentosa Island,2023,6,15,1.4,1.2,1.4,1.4,28.9,31.7,26.9,4.7,18.0
15,Sentosa Island,2023,6,16,0.0,0.0,0.0,0.0,29.8,33.0,27.5,5.8,20.6
16,Sentosa Island,2023,6,17,0.0,0.0,0.0,0.0,29.9,33.0,28.1,5.6,17.6
17,Sentosa Island,2023,6,18,7.6,6.8,7.0,7.4,28.5,32.2,22.4,3.7,47.2
18,Sentosa Island,2023,6,19,0.0,0.0,0.0,0.0,29.3,33.3,26.8,5.0,24.4
19,Sentosa Island,2023,6,20,0.0,0.0,0.0,0.0,29.3,32.8,27.8,5.8,21.7
20,Sentosa Island,2023,6,21,0.4,0.4,0.4,0.4,29.5,32.3,26.7,6.1,29.4
21,Sentosa Island,2023,6,22,4.2,4.0,4.2,4.2,29.6,34.0,25.1,6.0,33.5
22,Sentosa Island,2023,6,23,0.0,0.0,0.0,0.0,29.9,33.5,28.1,5.9,24.1
23,Sentosa Island,2023,6,24,2.4,2.2,2.2,2.2,28.5,31.7,25.2,4.1,23.7
24,Sentosa Island,2023,6,25,2.2,1.8,2.0,2.0,28.8,32.7,25.3,4.6,22.4
25,Sentosa Island,2023,6,26,0.2,0.2,0.2,0.2,28.5,31.6,25.6,5.6,26.3
26,Sentosa Island,2023,6,27,1.6,1.4,1.4,1.6,28.4,30.1,25.2,5.4,20.9
27,Sentosa Island,2023,6,28,21.6,10.2,12.0,12.2,27.9,31.0,24.0,5.3,19.4
28,Sentosa Island,2023,6,29,0.0,0.0,0.0,0.0,29.1,32.8,27.4,5.6,24.4
29,Sentosa Island,2023,6,30,22.4,11.2,20.4,22.4,28.2,30.8,25.1,4.6,25.6
0,Sentosa Island,2023,7,1,8.4,7.2,8.4,8.4,27.8,30.8,25.0,7.9,35.0
1,Sentosa Island,2023,7,2,0.0,0.0,0.0,0.0,29.1,32.0,27.4,5.2,18.0
2,Sentosa Island,2023,7,3,0.0,0.0,0.0,0.0,28.8,32.7,27.6,5.3,30.2
3,Sentosa Island,2023,7,4,0.0,0.0,0.0,0.0,29.7,34.9,28.0,6.5,32.0
4,Sentosa Island,2023,7,5,35.6,19.8,23.0,31.6,27.9,31.7,23.5,5.5,45.4
5,Sentosa Island,2023,7,6,0.2,0.2,0.2,0.2,27.6,30.7,25.9,3.6,18.0
6,Sentosa Island,2023,7,7,0.0,0.0,0.0,0.0,28.4,32.5,26.2,4.6,25.2
7,Sentosa Island,2023,7,8,0.0,0.0,0.0,0.0,29.1,32.6,26.6,6.2,29.1
8,Sentosa Island,2023,7,9,29.5,14.0,16.5,19.5,27.6,32.8,24.3,4.2,44.6
9,Sentosa Island,2023,7,10,9.0,9.0,9.0,9.0,27.5,30.1,25.4,4.6,35.6
10,Sentosa Island,2023,7,11,25.0,12.5,13.5,14.5,25.7,28.3,24.3,4.7,30.2
11,Sentosa Island,2023,7,12,0.0,0.0,0.0,0.0,28.3,31.5,25.2,5.4,19.8
12,Sentosa Island,2023,7,13,0.0,0.0,0.0,0.0,29.3,32.7,27.0,4.7,17.6
13,Sentosa Island,2023,7,14,53.0,21.5,27.5,36.5,26.5,28.6,23.7,4.8,30.9
14,Sentosa Island,2023,7,15,0.0,0.0,0.0,0.0,28.0,30.2,25.5,5.0,22.4
15,Sentosa Island,2023,7,16,0.0,0.0,0.0,0.0,29.5,32.4,27.1,5.9,22.6
16,Sentosa Island,2023,7,17,5.2,2.8,2.8,3.2,28.4,31.7,26.8,5.3,26.7
17,Sentosa Island,2023,7,18,47.0,42.0,47.0,47.0,27.3,29.4,23.7,4.2,35.9
18,Sentosa Island,2023,7,19,96.0,49.8,64.8,88.8,27.1,28.7,23.7,4.2,50.0
19,Sentosa Island,2023,7,20,73.6,45.2,56.8,61.2,26.6,28.7,23.2,5.5,27.8
20,Sentosa Island,2023,7,21,0.0,0.0,0.0,0.0,28.7,32.1,27.2,7.8,24.1
21,Sentosa Island,2023,7,22,0.0,0.0,0.0,0.0,29.1,31.9,27.4,6.4,29.4
22,Sentosa Island,2023,7,23,1.4,1.4,1.4,1.4,28.4,30.7,25.5,5.2,33.2
23,Sentosa Island,2023,7,24,0.0,0.0,0.0,0.0,28.9,32.2,26.1,7.6,23.3
24,Sentosa Island,2023,7,25,0.0,0.0,0.0,0.0,29.6,32.9,27.8,6.6,22.4
25,Sentosa Island,2023,7,26,0.0,0.0,0.0,0.0,29.6,33.2,27.7,6.2,25.6
26,Sentosa Island,2023,7,27,0.0,0.0,0.0,0.0,29.6,33.3,27.9,6.5,26.3
27,Sentosa Island,2023,7,28,0.0,0.0,0.0,0.0,29.6,32.5,27.8,6.9,24.4
28,Sentosa Island,2023,7,29,0.0,0.0,0.0,0.0,29.6,32.7,27.9,8.6,25.6
29,Sentosa Island,2023,7,30,0.4,0.4,0.4,0.4,29.4,32.4,27.7,8.7,33.2
30,Sentosa Island,2023,7,31,0.0,0.0,0.0,0.0,28.8,31.7,27.7,8.1,29.1
0,Sentosa Island,2023,8,1,0.0,0.0,0.0,0.0,29.3,32.4,27.5,6.8,20.2
1,Sentosa Island,2023,8,2,0.0,0.0,0.0,0.0,29.6,33.4,28.3,7.7,27.8
2,Sentosa Island,2023,8,3,3.4,0.8,1.0,1.8,26.3,28.6,23.5,4.9,47.8
3,Sentosa Island,2023,8,4,0.4,0.4,0.4,0.4,28.7,32.5,26.0,6.1,30.2
4,Sentosa Island,2023,8,5,0.2,0.2,0.2,0.2,29.4,33.3,27.4,7.1,24.8
5,Sentosa Island,2023,8,6,0.0,0.0,0.0,0.0,29.4,33.2,26.4,5.1,20.9
6,Sentosa Island,2023,8,7,0.0,0.0,0.0,0.0,29.3,32.4,27.4,6.5,25.9
7,Sentosa Island,2023,8,8,0.0,0.0,0.0,0.0,28.7,33.3,27.4,6.5,28.5
8,Sentosa Island,2023,8,9,0.0,0.0,0.0,0.0,29.1,32.7,27.2,6.8,29.1
9,Sentosa Island,2023,8,10,0.0,0.0,0.0,0.0,29.3,32.6,27.8,7.4,25.2
10,Sentosa Island,2023,8,11,6.0,5.8,6.0,6.0,29.0,33.0,25.1,6.1,30.9
11,Sentosa Island,2023,8,12,0.0,0.0,0.0,0.0,29.4,33.3,27.1,7.1,24.8
12,Sentosa Island,2023,8,13,0.0,0.0,0.0,0.0,29.0,32.0,27.6,7.1,29.1
13,Sentosa Island,2023,8,14,28.0,20.0,24.0,26.8,27.6,32.9,24.4,7.4,35.2
14,Sentosa Island,2023,8,15,0.0,0.0,0.0,0.0,28.3,32.0,25.7,5.3,19.1
15,Sentosa Island,2023,8,16,3.0,3.0,3.0,3.0,28.4,32.9,24.7,5.9,42.8
16,Sentosa Island,2023,8,17,0.0,0.0,0.0,0.0,28.8,31.9,27.4,5.3,21.3
17,Sentosa Island,2023,8,18,32.0,26.4,29.2,31.4,27.0,28.7,24.1,4.5,29.4
18,Sentosa Island,2023,8,19,8.6,8.6,8.6,8.6,27.4,30.7,25.0,4.6,27.4
19,Sentosa Island,2023,8,20,0.0,0.0,0.0,0.0,28.8,31.7,26.9,6.7,31.3
20,Sentosa Island,2023,8,21,17.5,6.0,8.0,15.5,27.1,29.2,24.4,5.3,48.5
21,Sentosa Island,2023,8,22,0.0,0.0,0.0,0.0,29.1,32.6,26.6,7.3,27.4
22,Sentosa Island,2023,8,23,0.0,0.0,0.0,0.0,29.3,32.7,27.1,7.1,23.0
23,Sentosa Island,2023,8,24,0.0,0.0,0.0,0.0,28.9,33.0,27.2,5.9,31.3
24,Sentosa Island,2023,8,25,0.4,0.4,0.4,0.4,28.1,31.5,25.3,5.1,35.6
25,Sentosa Island,2023,8,26,0.5,0.5,0.5,0.5,27.8,31.0,26.8,4.2,26.7
26,Sentosa Island,2023,8,27,0.0,0.0,0.0,0.0,28.6,32.0,26.2,5.5,25.2
27,Sentosa Island,2023,8,28,0.0,0.0,0.0,0.0,28.4,31.4,26.8,6.0,30.6
28,Sentosa Island,2023,8,29,0.0,0.0,0.0,0.0,28.6,31.4,27.3,7.0,28.5
29,Sentosa Island,2023,8,30,0.0,0.0,0.0,0.0,28.4,31.3,25.6,5.5,45.4
30,Sentosa Island,2023,8,31,0.0,0.0,0.0,0.0,29.1,32.4,27.2,7.3,27.8
0,Sentosa Island,2023,9,1,0.0,0.0,0.0,0.0,29.3,32.7,27.1,6.4,27.0
1,Sentosa Island,2023,9,2,0.0,0.0,0.0,0.0,29.2,33.2,26.8,5.9,22.0
2,Sentosa Island,2023,9,3,0.0,0.0,0.0,0.0,29.1,33.2,27.3,8.3,26.7
3,Sentosa Island,2023,9,4,0.0,0.0,0.0,0.0,29.0,32.3,27.5,9.7,30.6
4,Sentosa Island,2023,9,5,3.5,3.0,3.5,3.5,28.5,32.1,26.2,7.3,23.3
5,Sentosa Island,2023,9,6,47.0,21.4,26.8,33.6,27.1,33.1,23.8,5.2,32.8
6,Sentosa Island,2023,9,7,0.6,0.4,0.6,0.6,28.0,32.1,24.6,4.3,17.6
7,Sentosa Island,2023,9,8,4.8,4.4,4.8,4.8,29.0,32.6,26.1,6.7,28.5
8,Sentosa Island,2023,9,9,22.2,22.0,22.2,22.2,28.0,32.1,24.0,5.0,43.9
9,Sentosa Island,2023,9,10,1.4,0.6,0.8,0.8,27.4,31.0,24.9,4.8,27.0
10,Sentosa Island,2023,9,11,0.0,0.0,0.0,0.0,28.3,31.7,26.8,5.8,30.9
