Timestamp,How long has it been since your last visit to USS?,Are you Singaporean/PR or Foreigner?,Which age group do you belong to?,Did you visit the theme park with other people?,Choose the top 3 amenities / attractions that are most important to you when you visit the theme park.,Does anyone in your group require special needs access (e.g. wheelchair access)?,Do you accompany children (aged 12 and below) and elders (aged 60 and above) to the theme park?,Does anyone in your group require special needs access (e.g. wheelchair access)?,Do you accompany children (aged 12 and below) to the theme park?,Rank the following theme park zones based on the order in which you visited them. [New York],Rank the following theme park zones based on the order in which you visited them. [Hollywood],Rank the following theme park zones based on the order in which you visited them. [Sci-Fi City],Rank the following theme park zones based on the order in which you visited them. [Madagascar],Rank the following theme park zones based on the order in which you visited them. [Far Far Away],Rank the following theme park zones based on the order in which you visited them. [Ancient Egypt],Rank the following theme park zones based on the order in which you visited them. [The Lost World],Roller Coaster,Water-Based Rides,Haunted House and/or Dark Elements,Simulators and/or 3D/4D experiences (e.g. Shrek),Rides with spinning elements (e.g. 360 degree swing),Child-Friendly Rides (e.g. Teacups),Which of the following rides would you like to see in USS?,Which platform did you purchase your tickets from?,Did you receive a discount for your entrance ticket?,Did you purchase an Express Pass?,What day of the week did you visit?,"Arrange the following activities in the order in which you experienced them during your visit.
A. Go to the rollercoasters
B. Go to the Water-based rides
C. Go to the F&B outlet
D. Go and shop for souvenirs
E. Go for a water/restroom break
G. Go to the child-friendly rides
H. Go to the Haunted House
I. Go to the Simulator rides
J. Sightseeing
K. Go to the Spinning rides",Do you like to buy souvenirs before leaving the theme park?,Did you buy souvenirs in your last visit?,Sitting/resting areas,Sheltered areas,Restrooms/Toilets,Water Coolers,Baby Nursing Rooms,"Special Needs Facilities (e.g. handicapped toilet, wheelchair-accessible ramp)",Did you buy any food or drinks within USS?,Which meals did you have in USS?,Are there sufficient F&B options in USS to choose from?,How accessible are F&B outlets from the various rides and amenities in USS?,"On average, how long did you queue to order food/drinks at a F&B outlet in USS?","After placing your order, how long did you wait for your order to arrive at a F&B outlet in USS?",Do you think the quality of food and drinks sold in USS is worth its price?,How much are you willing to spend on food and drinks in USS (per person in your group)?,How would you rate the cleanliness of the restrooms?,"How would you rate the overall cleanliness of the theme park (e.g. litter, odour)?",To what extent does the weather affect your experience?,How did you find your visit?,Would you visit Universal Studios again?,Could you elaborate on why you would / would not visit USS again?
2024/10/14 2:26:53 am GMT+8,Less than 5 years,I am a Singaporean/PR,18-25,I am visiting with family,Rides;Restroom / Baby Nursing Room;Restaurants / Food Stops,No,None of the above,,,1st,3rd,4th,7th,5th,2nd,6th,5,4,1,1,3,1,Free-Fall Towers;Shooting Simulators;Axe Throwing,Official USS Website/Ticketing counter,No,Yes,Public Holiday,J D C A B E A C E K I,Yes,Yes,3,4,5,5,4,2,Yes,Lunch;Dinner,4,4,10 to 15 minutes,10 to 15 minutes,1,Less than $20,3,4,5,Good,No,"It is really fun to go with friends and family, but it does get old real quick if you go too often. I wouldn't go again unless I have a partner or family member or friends that I want to share a memory with. "
2024/10/14 9:03:21 am GMT+8,More than 5 years,I am a Singaporean/PR,18-25,I am visiting with family,"Rides;Water Cooler;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,Did not visit,2nd,4th,Did not visit,5th,3rd,1st,5,3,5,5,5,5,Bumper Cars;Shooting Simulators,Official USS Website/Ticketing counter,No,No,Peak Weekday (School Holiday),A B  C  E  J K,Yes,Yes,4,4,5,4,5,5,No,,,,,,,,4,4,5,Love it!,Yes,yes
2024/10/14 9:38:00 pm GMT+8,Less than 5 years,I am a Singaporean/PR,18-25,I am visiting with friend(s),Rides;Restroom / Baby Nursing Room;Seating Zone,No,None of the above,,,6th,7th,1st,5th,4th,2nd,3rd,5,3,3,5,3,4,Free-Fall Towers;Ferris Wheel;Bumper Cars;Shooting Simulators,"Travel Agency Websites (e.g. Klook, Agoda etc.)",Yes,No,Off-peak Weekday,A I B C K G E H J D,No,Yes,3,2,4,2,,,No,,,,,,,,2,4,5,Good,Yes,Fun rides but queuing time very long
2024/10/14 9:53:21 pm GMT+8,Less than 5 years,I am a Singaporean/PR,18-25,I am visiting with friend(s),"Rides;Restaurants / Food Stops;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,6th,7th,4th,3rd,1st,2nd,5th,1,3,1,5,2,5,Bumper Cars;Shooting Simulators,"Travel Agency Websites (e.g. Klook, Agoda etc.)",No,No,Peak Weekday (School Holiday),H A K B C E I G J D,Yes,Yes,3,3,3,2,,,Yes,Lunch,4,4,15 to 20 minutes,15 to 20 minutes,2,Less than $20,3,4,5,Neutral,No,"went a few times already, rides are all the same."
2024/10/14 10:17:51 pm GMT+8,Less than 1 year,I am a Singaporean/PR,18-25,I am visiting with friend(s),"Rides;Water Cooler;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,3rd,7th,5th,6th,1st,2nd,4th,3,3,3,3,3,3,Carousel (e.g. Merry-go-round),"Travel Agency Websites (e.g. Klook, Agoda etc.)",Yes,No,Off-peak Weekday,A B C D E F G H I J K,No,No,3,3,3,3,3,3,No,,,,,,,,3,3,3,Good,Yes,Fun place to go with friends for a day trip
2024/10/14 10:34:47 pm GMT+8,More than 5 years,I am a Singaporean/PR,18-25,I am visiting with family,Rides;Restroom / Baby Nursing Room;Water Cooler,No,None of the above,,,Did not visit,Did not visit,2nd,5th,3rd,1st,4th,4,3,3,4,3,3,Bumper Cars;Shooting Simulators,School bought for us,No,No,Peak Weekday (School Holiday),J A C E H I K D B G,No,No,4,4,4,4,4,4,Yes,Lunch,4,4,15 to 20 minutes,20 to 25 minutes,2,Less than $20,4,4,4,Good,No,"Ticket is too expensive, unless someone buys it for me"
2024/10/14 10:45:00 pm GMT+8,Less than 5 years,I am a Singaporean/PR,18-25,I am visiting with family,Rides;Water Cooler;Shelter,No,I accompany children aged 12 and below;I accompany elders aged 60 and above,,,5th,Did not visit,7th,4th,3rd,1st,2nd,4,5,3,5,4,3,Free-Fall Towers;Shooting Simulators;Carousel (e.g. Merry-go-round),Official USS Website/Ticketing counter,No,No,Weekend,B A J E I J K A ,No,No,3,4,3,3,3,3,Yes,Lunch,3,3,20 to 25 minutes,20 to 25 minutes,2,Less than $20,4,5,3,Good,Yes,
2024/10/14 10:45:12 pm GMT+8,More than 5 years,I am a Singaporean/PR,Below 18,I am visiting with family,Rides;Restaurants / Food Stops;Shelter,No,None of the above,,,7th,1st,6th,2nd,3rd,5th,4th,5,5,5,5,5,5,Free-Fall Towers;Bumper Cars;Shooting Simulators,Official USS Website/Ticketing counter,No,Yes,Off-peak Weekday,J A I H E K C I G B D ,No,No,3,2,4,2,2,3,Yes,Lunch,5,5,15 to 20 minutes,20 to 25 minutes,1,$20 - $40,3,4,5,Good,Yes,
2024/10/14 11:05:44 pm GMT+8,Less than 5 years,I am a Singaporean/PR,18-25,I am visiting with friend(s),Rides;Restaurants / Food Stops;Shelter,No,None of the above,,,Did not visit,1st,6th,Did not visit,3rd,5th,4th,1,3,1,2,1,5,Ferris Wheel;Bumper Cars;Carousel (e.g. Merry-go-round),Gift,Yes,No,Peak Weekday (School Holiday),NA,No,No,3,3,4,3,,,Yes,Lunch,2,2,20 to 25 minutes,20 to 25 minutes,2,Less than $20,3,5,5,Not great,No,"Very expensive, weather hot and rides too scary not much of my interest "
2024/10/14 11:27:39 pm GMT+8,Less than 5 years,I am a Singaporean/PR,18-25,I am visiting with family,Rides;Seating Zone;Shelter,No,None of the above,,,6th,7th,5th,1st,2nd,4th,3rd,3,1,1,4,2,2,Bumper Cars,"Travel Agency Websites (e.g. Klook, Agoda etc.)",Yes,No,Weekend,J G I A B E C D K H ,No,No,3,4,4,4,5,4,Yes,Lunch,3,5,10 to 15 minutes,10 to 15 minutes,3,Less than $20,3,4,5,Good,Yes,I would love to ride the rollercoaster rides
2024/10/15 7:02:46 am GMT+8,More than 5 years,I am a Singaporean/PR,18-25,I am visiting with friend(s),"Rides;Restaurants / Food Stops;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,7th,1st,6th,2nd,3rd,5th,4th,1,5,5,5,2,5,Ferris Wheel;Carousel (e.g. Merry-go-round),School sponsored,No,No,Off-peak Weekday,AB D D E F G H I J K,No,No,1,1,5,1,1,1,Yes,Lunch,1,1,15 to 20 minutes,10 to 15 minutes,1,Less than $20,5,5,5,Good,Yes,To flex on IG
2024/10/15 8:29:28 am GMT+8,More than 5 years,I am a Singaporean/PR,26-35,I am visiting with friend(s),"Rides;Restroom / Baby Nursing Room;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,Did not visit,Did not visit,1st,Did not visit,Did not visit,2nd,3rd,5,3,1,5,5,1,Free-Fall Towers;Shooting Simulators,Official USS Website/Ticketing counter,No,No,Peak Weekday (School Holiday),J A H C D E ,No,No,3,4,3,3,3,3,No,,,,,,,,3,3,3,Good,No,
2024/10/15 2:02:04 pm GMT+8,More than 5 years,I am a Singaporean/PR,18-25,"I do visit with my family, friends and partner.",Rides;Water Cooler;Shelter,No,None of the above,,,6th,7th,1st,4th,5th,2nd,3rd,5,4,4,3,1,2,Free-Fall Towers;Bumper Cars;Shooting Simulators,Official USS Website/Ticketing counter,No,No,Weekend,A B I E J H K G D C,No,No,4,2,5,3,3,3,Yes,Lunch,5,4,25 to 30 minutes,25 to 30 minutes,1,Less than $20,5,5,3,Good,Yes,"If I were to not visit it, it would be due to the pricing of the tickets and the food sold."
2024/10/15 4:09:46 pm GMT+8,More than 5 years,I am a Singaporean/PR,18-25,I am visiting with friend(s),Rides;Restroom / Baby Nursing Room;Restaurants / Food Stops,No,None of the above,,,6th,1st,3rd,7th,4th,2nd,5th,5,2,1,4,2,3,Free-Fall Towers,Official USS Website/Ticketing counter,No,No,Off-peak Weekday,A E B E I J,No,No,2,3,4,3,4,4,Yes,Lunch,4,5,10 to 15 minutes,10 to 15 minutes,2,Less than $20,5,5,4,Good,Yes,Because it is fun with friends and the atmosphere is different from the normal city of singapore
2024/10/18 12:12:00 am GMT+8,Less than 6 months,I am a Singaporean/PR,18-25,I am visiting with friend(s),Rides;Seating Zone;Shelter,No,None of the above,,,2nd,1st,3rd,Did not visit,6th,4th,5th,5,2,3,3,4,1,Free-Fall Towers;Shooting Simulators,ns unit welfare,Yes,No,Off-peak Weekday,I A B E J C A B,No,No,2,1,1,2,,,Yes,Lunch,3,4,Less than 10 minutes,10 to 15 minutes,1,Less than $20,3,4,5,Neutral,Yes,
2024/10/18 12:15:09 am GMT+8,More than 5 years,I am a Singaporean/PR,18-25,I am visiting with family,Rides;Restroom / Baby Nursing Room;Restaurants / Food Stops,No,None of the above,,,7th,1st,6th,2nd,3rd,5th,4th,4,4,2,3,3,4,Bumper Cars;Carousel (e.g. Merry-go-round),"Travel Agency Websites (e.g. Klook, Agoda etc.)",Yes,No,Weekend,J A I E C K B E J,No,No,3,3,4,4,,,Yes,Lunch,4,4,15 to 20 minutes,15 to 20 minutes,2,Less than $20,4,4,5,Good,Yes,
2024/10/18 12:22:06 am GMT+8,Less than 5 years,I am a Singaporean/PR,18-25,I am visiting with friend(s),Rides;Restroom / Baby Nursing Room;Shelter,No,None of the above,,,2nd,1st,3rd,7th,6th,4th,5th,3,3,2,4,1,3,Free-Fall Towers;Ferris Wheel;Massive swing ride in the shape of a carousel,Friend got it for free,Yes,No,Off-peak Weekday,J G I B E A K C H D,No,No,2,3,4,4,,,Yes,Lunch,2,3,20 to 25 minutes,15 to 20 minutes,2,Less than $20,4,4,4,Good,Yes,"Even if most rides stay the same, there’s always a bit of variation and coming with different groups of friends is always a unique experience, even if I’ve taken the rides before."
2024/10/18 1:30:06 am GMT+8,Less than 6 months,I am a Singaporean/PR,18-25,I am visiting with friend(s),Rides;Water Cooler;Seating Zone,No,None of the above,,,5th,4th,2nd,3rd,7th,1st,6th,5,1,5,1,1,1,Free-Fall Towers;Bumper Cars;Shooting Simulators,Official USS Website/Ticketing counter,No,No,Off-peak Weekday,A I H J K C E B G K,No,No,1,1,1,3,1,1,Yes,Lunch,4,2,Less than 10 minutes,Less than 10 minutes,1,Less than $20,4,5,5,Love it!,Yes,nil
2024/10/18 6:50:52 am GMT+8,Less than 1 year,I am a Singaporean/PR,18-25,I am visiting with my partner,"Water Cooler;Shelter;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,4th,2nd,2nd,4th,2nd,1st,2nd,4,5,5,5,3,5,Shooting Simulators,"Travel Agency Websites (e.g. Klook, Agoda etc.)",No,No,Weekend,A B E H I G J K C D,No,No,2,2,3,2,5,5,No,,,,,,,,3,3,5,Neutral,No,"Boring, expensive "
2024/10/18 5:12:12 pm GMT+8,Less than 6 months,I am a Singaporean/PR,18-25,I am visiting with friend(s),Rides;Restaurants / Food Stops;Shelter,No,None of the above,,,6th,7th,5th,4th,2nd,1st,3rd,2,4,5,2,2,2,Ferris Wheel;Bumper Cars;Shooting Simulators;Carousel (e.g. Merry-go-round),Official USS Website/Ticketing counter,No,No,Off-peak Weekday,A I G C E K J H B D,No,No,3,3,3,3,,,Yes,Lunch,2,3,15 to 20 minutes,15 to 20 minutes,2,Less than $20,3,3,4,Neutral,Yes,I would go if my friends invited me to go with them.
2024/10/18 6:32:22 pm GMT+8,I have not visited USS before,I am a Singaporean/PR,18-25,I am visiting with friend(s),Rides;Restroom / Baby Nursing Room;Seating Zone,No,None of the above,,,Did not visit,Did not visit,Did not visit,Did not visit,Did not visit,Did not visit,Did not visit,1,1,2,3,2,3,Bumper Cars,Official USS Website/Ticketing counter,No,No,Weekend,NA,Yes,No,3,3,3,3,3,3,No,,,,,,,,3,3,3,Neutral,Yes,
2024/10/18 9:50:18 pm GMT+8,Less than 1 year,I am a Singaporean/PR,18-25,I am visiting with friend(s),"Water Cooler;Seating Zone;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,4th,6th,4th,2nd,7th,3rd,1st,2,3,5,3,3,5,Shooting Simulators,Official USS Website/Ticketing counter,Yes,No,Weekend,A H I J D,Yes,Yes,4,3,5,2,3,2,No,,,,,,,,4,5,3,Good,Yes,
2024/10/18 11:49:29 pm GMT+8,Less than 1 year,I am a Singaporean/PR,18-25,I am visiting with friend(s),"Rides;Restroom / Baby Nursing Room;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,7th,3rd,4th,5th,2nd,6th,1st,4,4,3,5,4,3,Free-Fall Towers;Bumper Cars;Shooting Simulators,LTA event for family day,Yes,No,Weekend,A B E H I J G C K D,Yes,No,3,2,5,5,2,3,Yes,Dinner,2,4,10 to 15 minutes,Less than 10 minutes,1,Less than $20,5,5,1,Love it!,Yes,
2024/10/19 8:45:29 pm GMT+8,Less than 5 years,I am a Singaporean/PR,18-25,I am visiting with friend(s),"Rides;Water Cooler;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,3rd,1st,1st,3rd,2nd,1st,2nd,2,4,3,4,2,1,Bumper Cars;Shooting Simulators,Official USS Website/Ticketing counter,No,No,Weekend,J I E B A C D G H K,No,No,3,3,3,4,,,No,,,,,,,,3,4,4,Good,Yes,
2024/10/20 3:01:16 pm GMT+8,More than 5 years,I am a Singaporean/PR,18-25,I am visiting with friend(s),"Rides;Restaurants / Food Stops;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,4th,4th,4th,4th,3rd,2nd,1st,5,3,1,1,4,1,Free-Fall Towers,Official USS Website/Ticketing counter,Yes,No,Off-peak Weekday,A H J C E D A E,No,No,4,4,5,3,,,Yes,Lunch,3,3,More than 30 minutes,More than 30 minutes,2,$20 - $40,3,4,5,Good,Yes,
2024/10/20 9:52:15 pm GMT+8,More than 5 years,I am a Singaporean/PR,36-59,I am visiting with family,Rides;Restroom / Baby Nursing Room;Shelter,No,I accompany children aged 12 and below,,,7th,6th,5th,1st,2nd,4th,3rd,1,3,4,5,1,2,Ferris Wheel;Bumper Cars;Shooting Simulators;Carousel (e.g. Merry-go-round),Official USS Website/Ticketing counter,Yes,No,Off-peak Weekday,I B H K E G C J D A,No,No,3,3,3,3,3,3,Yes,Lunch,3,3,10 to 15 minutes,10 to 15 minutes,2,Less than $20,3,4,4,Good,No,Once is enough 
2024/10/21 12:07:21 pm GMT+8,More than 5 years,I am a Singaporean/PR,18-25,I am visiting with family,Restaurants / Food Stops;Seating Zone;Shelter,No,None of the above,,,5th,1st,4th,2nd,Did not visit,3rd,Did not visit,3,4,4,4,4,4,Bumper Cars;Shooting Simulators,"Resale (personal blogger, friends, family)",No,No,Off-peak Weekday,H I J K A B C D E F G ,No,No,4,4,4,4,,,No,,,,,,,,4,5,4,Good,No,No time and money
2024/10/21 1:44:57 pm GMT+8,Less than 5 years,I am a Singaporean/PR,18-25,I am visiting with friend(s),"Rides;Restaurants / Food Stops;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,2nd,1st,3rd,7th,6th,4th,5th,2,5,3,5,4,3,Free-Fall Towers;Ferris Wheel;Bumper Cars;Shooting Simulators;Carousel (e.g. Merry-go-round),My friend’s company ticket giveaway,No,No,Off-peak Weekday,J G K I H E B A C D,No,Yes,3,2,3,4,,,Yes,Dinner,4,3,10 to 15 minutes,15 to 20 minutes,1,Less than $20,5,5,1,Good,Yes,"Quite fun, why not? But need sponsorship"
2024/10/21 4:09:41 pm GMT+8,More than 5 years,I am a Singaporean/PR,18-25,I am visiting with friend(s),"Rides;Restaurants / Food Stops;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,2nd,3rd,2nd,4th,3rd,1st,3rd,5,5,5,5,4,3,Free-Fall Towers;Shooting Simulators,"Travel Agency Websites (e.g. Klook, Agoda etc.)",Yes,No,Off-peak Weekday,A H I B C D E K J G,Yes,Yes,3,4,4,4,4,4,Yes,Lunch;Dinner,4,4,25 to 30 minutes,20 to 25 minutes,2,$20 - $40,3,4,5,Good,Yes,
2024/10/21 7:26:03 pm GMT+8,Less than 5 years,I am a Singaporean/PR,Below 18,I am visiting with friend(s),"Rides;Seating Zone;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,4th,6th,1st,3rd,5th,2nd,7th,3,3,2,2,1,5,Ferris Wheel;Bumper Cars;Shooting Simulators;Carousel (e.g. Merry-go-round),Official USS Website/Ticketing counter,No,No,Off-peak Weekday,A,Yes,Yes,3,3,3,3,3,3,Yes,Lunch,5,3,10 to 15 minutes,10 to 15 minutes,5,$20 - $40,5,5,5,Good,Yes,It’s fun and relaxing 
2024/10/21 11:32:23 pm GMT+8,More than 5 years,I am a foreigner,26-35,I am visiting with friend(s),"Rides;Shelter;Seasonal attractions (e.g. Horror Night, Parades, Mascots)",No,None of the above,,,3rd,4th,1st,5th,2nd,7th,6th,5,5,5,5,1,5,Ferris Wheel;Bumper Cars,Official USS Website/Ticketing counter,No,Yes,Weekend,A B C D E G H I J K,Yes,No,3,3,5,5,,,Yes,Lunch,1,4,More than 30 minutes,Less than 10 minutes,1,Less than $20,5,4,5,Good,No,Went too many times
2024/10/22 12:26:53 am GMT+8,Less than 1 month,I am a Singaporean/PR,18-25,I am visiting with my partner,Rides;Restaurants / Food Stops;Seating Zone,No,None of the above,,,6th,7th,3rd,5th,1st,4th,2nd,2,5,5,5,1,5,Bumper Cars;Shooting Simulators,Official USS Website/Ticketing counter,No,No,Off-peak Weekday,H H J C H H I ,Yes,No,3,2,5,5,,,Yes,Dinner,5,5,Less than 10 minutes,Less than 10 minutes,2,Less than $20,4,5,4,Love it!,Yes,
2024/10/22 5:03:23 pm GMT+8,Less than 1 month,I am a foreigner,18-25,I am visiting with friend(s),Rides;Restroom / Baby Nursing Room;Water Cooler,No,None of the above,,,4th,5th,1st,3rd,6th,2nd,7th,5,1,1,1,1,1,Free-Fall Towers,Official USS Website/Ticketing counter,No,No,Weekend,A B C D E F G H I J K,No,No,3,3,3,3,3,3,No,,,,,,,,3,3,3,Love it!,Yes,
